Month,air,rail,car
1990-01-01,35153577,454115779,163.2753835
1990-02-01,32965187,435086002,153.2544088
1990-03-01,39993913,568289732,178.4175772
1990-04-01,37981886,568101697,178.6806856
1990-05-01,38419672,539628385,188.8761708
1990-06-01,42819023,570694457,189.159078
1990-07-01,45770315,618571581,195.0900298
1990-08-01,48763670,609210368,196.6741577
1990-09-01,38173223,488444939,178.0653642
1990-10-01,39051877,514253920,182.2746196
1990-11-01,35699216,516429873,171.2259877
1990-12-01,37444088,531619395,168.2875337
1991-01-01,34848290,496467387,157.8768344
1991-02-01,29672427,469504489,153.3394067
1991-03-01,36202993,587905914,179.0621197
1991-04-01,37146602,509488334,179.524665
1991-05-01,38869421,566342448,191.914709
1991-06-01,42199760,603845247,193.4518491
1991-07-01,45384965,633450001,198.3711991
1991-08-01,48164550,664013874,204.0469221
1991-09-01,38481957,494557648,183.5796704
1991-10-01,39062110,509037626,188.43057
1991-11-01,34688141,472359118,169.6799709
1991-12-01,38575165,550795984,172.7690971
1992-01-01,35265807,493541137,167.886
1992-02-01,33868884,462084011,160.425
1992-03-01,39724539,559205172,184.03
1992-04-01,37294373,572122965,186.32
1992-05-01,39728367,546043825,196.985
1992-06-01,45754460,478204759,197.49
1992-07-01,50807813,610774196,206.882
1992-08-01,53219046,627359211,205.016
1992-09-01,41564915,516516158,191.159
1992-10-01,40578092,538313763,195.095
1992-11-01,36863415,539769246,177.618
1992-12-01,39045016,551397116,181.245
1993-01-01,37911556,500349189,171.655
1993-02-01,34902869,461280157,162.82
1993-03-01,42058882,534476186,187.842
1993-04-01,40814097,562429065,188.709
1993-05-01,42133943,554039017,205.952
1993-06-01,44679864,580500717,199.386
1993-07-01,48622037,586861727,209.809
1993-08-01,50451675,611839976,209.603
1993-09-01,41677832,501353952,193.737
1993-10-01,43264475,507702230,197.764
1993-11-01,38868799,489299178,182.296
1993-12-01,40610043,503041903,186.802
1994-01-01,38863562,472917856,169.314
1994-02-01,36068535,463567851,166.445
1994-03-01,45433842,572167273,196.189
1994-04-01,42418163,546898075,195.408
1994-05-01,44297210,524008197,206.595
1994-06-01,48169096,531971149,207.281
1994-07-01,52410979,578257564,214.777
1994-08-01,53235052,587229076,215.046
1994-09-01,44677623,490032783,200.511
1994-10-01,45845403,493619903,202.864
1994-11-01,42230318,477594716,190.073
1994-12-01,43868116,490779357,193.086
1995-01-01,42050940,425207429,183.617
1995-02-01,38580784,393268412,172.522
1995-03-01,47390145,489360683,202.408
1995-04-01,45427499,490903635,199.527
1995-05-01,45915722,511120586,213.564
1995-06-01,49992583,542693418,212.282
1995-07-01,53345749,571259638,217.719
1995-08-01,54776466,580982161,219.873
1995-09-01,45589237,451385426,204.323
1995-10-01,46993036,441202778,206.99
1995-11-01,43703386,435470011,195.409
1995-12-01,45015358,444598571,194.585
1996-01-01,42734234,362022328,183.737
1996-02-01,43056589,343413949,176.819
1996-03-01,51646570,416042895,204.469
1996-04-01,48063492,425092726,205.557
1996-05-01,49808809,467573082,218.999
1996-06-01,53774378,476554648,215.871
1996-07-01,56576582,525954361,225.44
1996-08-01,58714135,551695523,229.385
1996-09-01,47857913,412344840,207.908
1996-10-01,49873317,425991795,215.972
1996-11-01,44696485,389249720,199.937
1996-12-01,49361193,437256586,201.754
1997-01-01,46692784,337798678,190.126
1997-02-01,43761932,337893100,183.951
1997-03-01,54755166,416925515,211.952
1997-04-01,50182894,408488665,211.29
1997-05-01,51979543,444032624,226.082
1997-06-01,55462027,481053743,222.254
1997-07-01,58771317,540293509,236.713
1997-08-01,60496856,552486079,233.497
1997-09-01,50076953,425814893,213.548
1997-10-01,51846329,445858326,221.219
1997-11-01,47743798,441249575,202.422
1997-12-01,50414361,454400575,207.322
1998-01-01,47290992,371355589,196.871
1998-02-01,44641209,326874247,187.167
1998-03-01,54453961,426172239,214.222
1998-04-01,53044174,447877815,217.921
1998-05-01,54302581,462341914,227.901
1998-06-01,57335447,482325897,228.732
1998-07-01,59441840,537481124,239.944
1998-08-01,60813085,526444502,237.143
1998-09-01,49560508,430364874,219.461
1998-10-01,53463147,444719403,228.523
1998-11-01,49561082,427669956,211.178
1998-12-01,51024977,459051399,216.304
1999-01-01,48861094,384824724,194.436
1999-02-01,46158194,350270063,192.333
1999-03-01,57761057,436837107,221.739
1999-04-01,54968382,435360347,221.979
1999-05-01,55469960,450054655,231.814
1999-06-01,59918608,496553598,237.016
1999-07-01,64397523,543923323,244.198
1999-08-01,63752132,528001216,242.568
1999-09-01,53733696,393137094,225.303
1999-10-01,57407208,425897553,234.661
1999-11-01,53866781,421595015,222.831
1999-12-01,52331272,442742459,222.458
2000-01-01,49745428,366607410,203.582
2000-02-01,49876910,366139276,199.638
2000-03-01,61378569,453096388,232.627
2000-04-01,58981617,473751011,227.808
2000-05-01,61165486,481725263,242.108
2000-06-01,65524091,517102460,243.012
2000-07-01,67883256,564747276,245.083
2000-08-01,66924512,558060051,247.77
2000-09-01,56441629,446489429,227.328
2000-10-01,58834210,462329685,236.554
2000-11-01,56283261,442268378,222.799
2000-12-01,55380280,461651082,218.436
2001-01-01,53129922,379458113,209.259
2001-02-01,49992995,366288212,199.909
2001-03-01,62323049,448912584,231.489
2001-04-01,59801562,455496342,231.365
2001-05-01,60246477,462376555,244.252
2001-06-01,64987625,528690495,242.579
2001-07-01,68573410,564037290,248.785
2001-08-01,69003617,562266005,251.688
2001-09-01,39106905,446266947,224.571
2001-10-01,44271037,452095235,240
2001-11-01,45245063,446094295,229.479
2001-12-01,48167518,479188434,228.087
2002-01-01,46587818,398440459,213.808
2002-02-01,45157533,397948828,206.462
2002-03-01,57423155,461087451,234.005
2002-04-01,53013066,453147413,234.809
2002-05-01,55663570,461648459,249.886
2002-06-01,60224150,499751748,246.389
2002-07-01,62570110,564046073,254.194
2002-08-01,62881793,516103068,256.244
2002-09-01,48925997,385097846,230.597
2002-10-01,52779975,399248774,243.289
2002-11-01,48902677,375996408,228.389
